,Program,# progam,day,# week day,Time,# in hour,mean,std
72,Sound Waves,13928,Monday,2123,Morning,2123,64.38412461443299,30.676121548609007
73,Sound Waves,13928,Monday,2123,Afternoon,2123,63.215384615384615,31.923200309102533
74,Sound Waves,13928,Monday,2123,Evening,2123,65.66789130434782,32.08424177831306
79,Sound Waves,13928,Tuesday,1732,Night,1732,66.81834664944175,33.19800020234709
80,Sound Waves,13928,Tuesday,1732,Morning,1732,63.59803412031941,33.18798812135868
81,Sound Waves,13928,Tuesday,1732,Afternoon,1732,65.28112600536193,33.34337399827616
82,Sound Waves,13928,Tuesday,1732,Evening,1732,64.32775623268698,33.106351055791414
87,Sound Waves,13928,Wednesday,2095,Night,2095,64.44664471057884,32.02966194204236
88,Sound Waves,13928,Wednesday,2095,Morning,2095,62.52950738916256,33.06486512795077
89,Sound Waves,13928,Wednesday,2095,Afternoon,2095,64.78440268456376,32.70055579400119
90,Sound Waves,13928,Wednesday,2095,Evening,2095,63.46270610687023,31.727666507949444
95,Sound Waves,13928,Thursday,1871,Night,1871,63.3488498165363,34.428391029146525
96,Sound Waves,13928,Thursday,1871,Morning,1871,60.55943244940594,33.47796469564206
97,Sound Waves,13928,Thursday,1871,Afternoon,1871,62.598246575342465,34.31681754108071
98,Sound Waves,13928,Thursday,1871,Evening,1871,65.29129545454546,33.26684173332705
103,Sound Waves,13928,Friday,2083,Night,2083,64.58732369382821,33.2828662189866
104,Sound Waves,13928,Friday,2083,Morning,2083,62.85325153374233,31.9853776123438
105,Sound Waves,13928,Friday,2083,Afternoon,2083,66.92515151515151,33.20317007478291
106,Sound Waves,13928,Friday,2083,Evening,2083,61.279094827586206,31.964807694218237
111,Sound Waves,13928,Saturday,1902,Night,1902,66.96390743481818,33.01006983162814
112,Sound Waves,13928,Saturday,1902,Morning,1902,64.22694731478059,32.580740535217096
113,Sound Waves,13928,Saturday,1902,Afternoon,1902,64.08854111405836,33.50591124797952
114,Sound Waves,13928,Saturday,1902,Evening,1902,63.41725446428571,32.01475896093241
126,Joke Junction,15074,Sunday,2229,Night,2229,62.18424528301887,31.580329570492644
127,Joke Junction,15074,Sunday,2229,Morning,2229,59.82761181434599,34.159012215214645
128,Joke Junction,15074,Sunday,2229,Afternoon,2229,58.48208156222222,34.25013938367635
129,Joke Junction,15074,Sunday,2229,Evening,2229,58.82688733323864,32.16664613529525
134,Joke Junction,15074,Monday,2220,Night,2220,63.6917034625636,33.376171234717326
135,Joke Junction,15074,Monday,2220,Morning,2220,58.9308064516129,34.37028082801778
136,Joke Junction,15074,Monday,2220,Afternoon,2220,63.49919254658385,34.20569247792513
137,Joke Junction,15074,Monday,2220,Evening,2220,60.75865263157894,33.742858101594074
142,Joke Junction,15074,Tuesday,1812,Night,1812,63.3292443324937,33.03029082605521
143,Joke Junction,15074,Tuesday,1812,Morning,1812,64.88684745762711,32.9634861516552
144,Joke Junction,15074,Tuesday,1812,Afternoon,1812,64.2855905511811,33.08283820447529
145,Joke Junction,15074,Tuesday,1812,Evening,1812,65.552650160125,33.05915391509216
150,Joke Junction,15074,Wednesday,2192,Night,2192,63.95803418803419,33.251699098171166
151,Joke Junction,15074,Wednesday,2192,Morning,2192,59.48731187587197,34.275740426535904
152,Joke Junction,15074,Wednesday,2192,Afternoon,2192,60.3800420131496,34.31153040235211
153,Joke Junction,15074,Wednesday,2192,Evening,2192,60.7576875,34.3277096099312
158,Joke Junction,15074,Thursday,2276,Night,2276,63.17534724900794,33.50228068382401
159,Joke Junction,15074,Thursday,2276,Morning,2276,57.80125,33.39925206172636
160,Joke Junction,15074,Thursday,2276,Afternoon,2276,61.80547474747475,35.66632525525205
161,Joke Junction,15074,Thursday,2276,Evening,2276,60.718552818371606,34.01636457429831
166,Joke Junction,15074,Friday,2208,Night,2208,58.77045028142589,32.86250503827805
167,Joke Junction,15074,Friday,2208,Morning,2208,60.9697033898305,33.97894174139516
168,Joke Junction,15074,Friday,2208,Afternoon,2208,59.80485065895272,31.63218898877979
169,Joke Junction,15074,Friday,2208,Evening,2208,63.57980810234542,34.649573821170414
174,Joke Junction,15074,Saturday,2137,Night,2137,63.568978805395,32.982321986587955
175,Joke Junction,15074,Saturday,2137,Morning,2137,58.823146551724136,32.35899792764424
176,Joke Junction,15074,Saturday,2137,Afternoon,2137,62.416666966292134,33.244595258446715
177,Joke Junction,15074,Saturday,2137,Evening,2137,59.862943722943726,33.680857910396824
189,Comedy Corner,15927,Sunday,2381,Night,2381,63.74147350993377,32.11571479246785
190,Comedy Corner,15927,Sunday,2381,Morning,2381,63.789509433962266,32.88183802028923
191,Comedy Corner,15927,Sunday,2381,Afternoon,2381,63.438214285714295,33.890926474219334
192,Comedy Corner,15927,Sunday,2381,Evening,2381,58.895087880355234,31.243558517599574
197,Comedy Corner,15927,Monday,2434,Night,2434,65.58335483870968,31.53983060729033
198,Comedy Corner,15927,Monday,2434,Morning,2434,62.9895291126998,31.54941274761966
199,Comedy Corner,15927,Monday,2434,Afternoon,2434,64.07776389684874,31.896519819570358
200,Comedy Corner,15927,Monday,2434,Evening,2434,63.482454193799285,32.44095112572229
205,Comedy Corner,15927,Tuesday,2012,Night,2012,63.9050728929385,32.44574146415918
206,Comedy Corner,15927,Tuesday,2012,Morning,2012,60.27997825747346,34.22539146230207
207,Comedy Corner,15927,Tuesday,2012,Afternoon,2012,63.50328938279224,33.313104744774634
208,Comedy Corner,15927,Tuesday,2012,Evening,2012,66.04765305676855,33.098681114729196
213,Comedy Corner,15927,Wednesday,2169,Night,2169,66.97796625874125,32.70423329081685
214,Comedy Corner,15927,Wednesday,2169,Morning,2169,59.65180985475336,34.23826625338291
215,Comedy Corner,15927,Wednesday,2169,Afternoon,2169,64.24576456876457,34.11920122492836
216,Comedy Corner,15927,Wednesday,2169,Evening,2169,62.862996031746036,31.928620993097383
221,Comedy Corner,15927,Thursday,2275,Night,2275,62.11707315884476,32.70912072743597
222,Comedy Corner,15927,Thursday,2275,Morning,2275,63.09237080566802,32.99896378837154
223,Comedy Corner,15927,Thursday,2275,Afternoon,2275,59.80874235927602,33.49842730970597
224,Comedy Corner,15927,Thursday,2275,Evening,2275,62.15406190004256,33.49890977051736
229,Comedy Corner,15927,Friday,2396,Night,2396,64.05091973244147,33.060906095916266
230,Comedy Corner,15927,Friday,2396,Morning,2396,62.30792955894056,31.666647740824867
231,Comedy Corner,15927,Friday,2396,Afternoon,2396,60.84698717948718,31.77531520917194
232,Comedy Corner,15927,Friday,2396,Evening,2396,62.27048679245283,31.867916742418473
237,Comedy Corner,15927,Saturday,2260,Night,2260,60.204425914396886,32.545853235757605
238,Comedy Corner,15927,Saturday,2260,Morning,2260,59.24003904555315,33.165334623712454
239,Comedy Corner,15927,Saturday,2260,Afternoon,2260,60.65203856828194,32.76054456651446
240,Comedy Corner,15927,Saturday,2260,Evening,2260,61.99446780245247,31.225399213897706
252,Life Lessons,14464,Sunday,2291,Night,2291,62.518107569721124,32.372122290655895
253,Life Lessons,14464,Sunday,2291,Morning,2291,62.86928879310344,31.633943291591038
254,Life Lessons,14464,Sunday,2291,Afternoon,2291,65.73828740157481,32.73348111366431
255,Life Lessons,14464,Sunday,2291,Evening,2291,62.89497382198954,33.92154800048656
260,Life Lessons,14464,Monday,2249,Night,2249,69.77361396303901,32.989534100429886
261,Life Lessons,14464,Monday,2249,Morning,2249,67.28375257731959,32.69004034169982
262,Life Lessons,14464,Monday,2249,Afternoon,2249,65.48360811488462,33.60083267192366
263,Life Lessons,14464,Monday,2249,Evening,2249,64.24128817300752,31.768024581087502
268,Life Lessons,14464,Tuesday,1946,Night,1946,65.79661470842333,33.061044485132676
269,Life Lessons,14464,Tuesday,1946,Morning,1946,67.33495479802272,32.36367849444064
270,Life Lessons,14464,Tuesday,1946,Afternoon,1946,66.3789592854801,32.79500887302254
271,Life Lessons,14464,Tuesday,1946,Evening,1946,64.94431343741462,31.6952109830564
276,Life Lessons,14464,Wednesday,1997,Night,1997,67.50167396593675,32.730142252726104
277,Life Lessons,14464,Wednesday,1997,Morning,1997,64.60627210681818,33.09867692948254
278,Life Lessons,14464,Wednesday,1997,Afternoon,1997,66.58733183856502,30.989552060490656
279,Life Lessons,14464,Wednesday,1997,Evening,1997,64.86928870292887,32.46240189849176
284,Life Lessons,14464,Thursday,1776,Night,1776,63.79110849056604,32.41433261407097
285,Life Lessons,14464,Thursday,1776,Morning,1776,64.7802157606281,32.19703654271324
286,Life Lessons,14464,Thursday,1776,Afternoon,1776,61.36652184591176,32.366927003447586
287,Life Lessons,14464,Thursday,1776,Evening,1776,63.02053401235537,32.777177773576035
292,Life Lessons,14464,Friday,2151,Night,2151,66.77888185654008,31.998768207904845
293,Life Lessons,14464,Friday,2151,Morning,2151,63.23862424024641,32.80096403455842
294,Life Lessons,14464,Friday,2151,Afternoon,2151,62.99120703021231,33.32366133223607
295,Life Lessons,14464,Friday,2151,Evening,2151,61.994145251937994,31.96196001704611
300,Life Lessons,14464,Saturday,2054,Night,2054,62.215157894736834,34.13831435947358
301,Life Lessons,14464,Saturday,2054,Morning,2054,67.05240847880299,32.120301579045424
302,Life Lessons,14464,Saturday,2054,Afternoon,2054,60.10325813243848,32.38032567285801
303,Life Lessons,14464,Saturday,2054,Evening,2054,62.88140900195695,31.779599350425514
315,Money Matters,13380,Sunday,2192,Night,2192,66.20003581006796,33.05868574272274
316,Money Matters,13380,Sunday,2192,Morning,2192,66.7176729442539,31.630964409265317
317,Money Matters,13380,Sunday,2192,Afternoon,2192,66.180756302521,31.10811594652739
318,Money Matters,13380,Sunday,2192,Evening,2192,67.66346007604564,32.463168166918656
323,Money Matters,13380,Monday,2211,Night,2211,67.87474226804123,31.993113504682174
324,Money Matters,13380,Monday,2211,Morning,2211,64.09599531615925,32.15639748452983
325,Money Matters,13380,Monday,2211,Afternoon,2211,71.51439746300211,31.531027389675526
326,Money Matters,13380,Monday,2211,Evening,2211,65.3954721030043,32.762644868949415
331,Money Matters,13380,Tuesday,1735,Night,1735,67.41941888619856,33.71402157311348
332,Money Matters,13380,Tuesday,1735,Morning,1735,70.14404787969946,31.969120495784207
333,Money Matters,13380,Tuesday,1735,Afternoon,1735,69.75089465885561,32.18235420368114
334,Money Matters,13380,Tuesday,1735,Evening,1735,67.78451680457735,32.71723382645309
339,Money Matters,13380,Wednesday,1987,Night,1987,68.12266816143497,32.939611000509956
340,Money Matters,13380,Wednesday,1987,Morning,1987,67.30980295566503,32.79875680360937
341,Money Matters,13380,Wednesday,1987,Afternoon,1987,67.68826138956709,32.709776555012105
342,Money Matters,13380,Wednesday,1987,Evening,1987,62.47615925723684,31.26765285544411
347,Money Matters,13380,Thursday,1654,Night,1654,65.79682382133996,33.29985760112126
348,Money Matters,13380,Thursday,1654,Morning,1654,62.13932307692308,34.47443189493675
349,Money Matters,13380,Thursday,1654,Afternoon,1654,69.40912031024591,32.81531665679966
350,Money Matters,13380,Thursday,1654,Evening,1654,67.98680672268908,34.34995491548257
355,Money Matters,13380,Friday,1782,Night,1782,67.01781821223881,32.561670578092276
356,Money Matters,13380,Friday,1782,Morning,1782,64.81803183673469,33.69409526898565
357,Money Matters,13380,Friday,1782,Afternoon,1782,70.89226473946565,32.94022268228191
358,Money Matters,13380,Friday,1782,Evening,1782,67.14216611793611,32.021945361929774
363,Money Matters,13380,Saturday,1819,Night,1819,66.19032258064516,33.092873738532504
364,Money Matters,13380,Saturday,1819,Morning,1819,64.30108527131783,33.045334206341025
365,Money Matters,13380,Saturday,1819,Afternoon,1819,67.07702254094293,33.26474334920119
366,Money Matters,13380,Saturday,1819,Evening,1819,63.59040100250626,33.0536969376472
378,Mystery Matters,16002,Sunday,2533,Night,2533,63.96043964249999,33.00240573651796
379,Mystery Matters,16002,Sunday,2533,Morning,2533,62.34715613382899,32.72905625823513
380,Mystery Matters,16002,Sunday,2533,Afternoon,2533,64.4525560420749,32.67748370768346
381,Mystery Matters,16002,Sunday,2533,Evening,2533,62.774911194055946,33.32773488578053
386,Mystery Matters,16002,Monday,2380,Night,2380,66.80992518532258,32.74847480838198
387,Mystery Matters,16002,Monday,2380,Morning,2380,65.07478672985782,32.206161201128545
388,Mystery Matters,16002,Monday,2380,Afternoon,2380,64.15853312577319,31.861852141630703
389,Mystery Matters,16002,Monday,2380,Evening,2380,64.71433673469387,32.51048213719261
394,Mystery Matters,16002,Tuesday,1942,Night,1942,67.9372009569378,33.665241452789665
395,Mystery Matters,16002,Tuesday,1942,Morning,1942,61.54084282460137,35.744179032062725
396,Mystery Matters,16002,Tuesday,1942,Afternoon,1942,65.37035906160193,35.150730049003315
397,Mystery Matters,16002,Tuesday,1942,Evening,1942,63.763625439161004,33.574480457034966
402,Mystery Matters,16002,Wednesday,2405,Night,2405,66.45863692187605,33.20627571111595
403,Mystery Matters,16002,Wednesday,2405,Morning,2405,64.83115326663736,34.61683303196545
404,Mystery Matters,16002,Wednesday,2405,Afternoon,2405,64.00706720977597,33.33710154684197
405,Mystery Matters,16002,Wednesday,2405,Evening,2405,65.90066655231561,33.530578413756324
410,Mystery Matters,16002,Thursday,2116,Night,2116,66.35649373881932,32.77748771559146
411,Mystery Matters,16002,Thursday,2116,Morning,2116,63.701616915422896,33.86575113404146
412,Mystery Matters,16002,Thursday,2116,Afternoon,2116,61.970442771334895,34.25858227399817
413,Mystery Matters,16002,Thursday,2116,Evening,2116,62.218929166666676,34.46378025536016
418,Mystery Matters,16002,Friday,2330,Night,2330,64.80888233633218,31.425464674360708
419,Mystery Matters,16002,Friday,2330,Morning,2330,64.87892358078602,31.672829853634084
420,Mystery Matters,16002,Friday,2330,Afternoon,2330,62.01838590436106,31.910080609274857
421,Mystery Matters,16002,Friday,2330,Evening,2330,63.01181786184308,34.10639538116617
426,Mystery Matters,16002,Saturday,2296,Night,2296,64.73581434438144,33.05879482959623
427,Mystery Matters,16002,Saturday,2296,Morning,2296,65.83680257510728,34.53629472302071
428,Mystery Matters,16002,Saturday,2296,Afternoon,2296,65.57848359908046,32.218858127572204
429,Mystery Matters,16002,Saturday,2296,Evening,2296,62.97105978872532,33.43235861376922
441,Gadget Geek,14770,Sunday,2236,Night,2236,67.22654813475089,31.923872042938587
442,Gadget Geek,14770,Sunday,2236,Morning,2236,65.01376278801254,33.53715154628766
443,Gadget Geek,14770,Sunday,2236,Afternoon,2236,64.28448441247002,33.983463445834886
444,Gadget Geek,14770,Sunday,2236,Evening,2236,67.59524950099801,31.50939779474728
449,Gadget Geek,14770,Monday,2209,Night,2209,65.43553518123666,33.48824703536198
450,Gadget Geek,14770,Monday,2209,Morning,2209,65.74772358263984,32.954567050905936
451,Gadget Geek,14770,Monday,2209,Afternoon,2209,67.1350001835443,33.35108443862634
452,Gadget Geek,14770,Monday,2209,Evening,2209,62.074850116700205,33.0196968977161
457,Gadget Geek,14770,Tuesday,1907,Night,1907,64.39679344729197,34.23031504172697
458,Gadget Geek,14770,Tuesday,1907,Morning,1907,62.13480459770115,34.346856699143515
459,Gadget Geek,14770,Tuesday,1907,Afternoon,1907,66.29019649766234,33.693693911296606
460,Gadget Geek,14770,Tuesday,1907,Evening,1907,63.36557075298544,33.1479102574223
465,Gadget Geek,14770,Wednesday,2108,Night,2108,68.37886109395903,32.89899775983116
466,Gadget Geek,14770,Wednesday,2108,Morning,2108,65.51739242129631,34.352919857827686
467,Gadget Geek,14770,Wednesday,2108,Afternoon,2108,61.941301204819275,31.64173578856578
468,Gadget Geek,14770,Wednesday,2108,Evening,2108,65.145065913371,33.48962420203846
473,Gadget Geek,14770,Thursday,2163,Night,2163,65.61829935014866,33.61368604914294
474,Gadget Geek,14770,Thursday,2163,Morning,2163,61.93758389261745,35.09009782616436
475,Gadget Geek,14770,Thursday,2163,Afternoon,2163,64.55531518438178,35.2412983137649
476,Gadget Geek,14770,Thursday,2163,Evening,2163,62.31530271398748,34.18106453985347
481,Gadget Geek,14770,Friday,2202,Night,2202,67.31153061224488,32.02332424993451
482,Gadget Geek,14770,Friday,2202,Morning,2202,66.31117593947474,34.004924468568476
483,Gadget Geek,14770,Friday,2202,Afternoon,2202,66.88441422803348,35.735434619358024
484,Gadget Geek,14770,Friday,2202,Evening,2202,63.8334271049796,32.827781342306835
489,Gadget Geek,14770,Saturday,1945,Night,1945,64.4763127673434,33.25602479496087
490,Gadget Geek,14770,Saturday,1945,Morning,1945,63.33106704378948,33.429282812134836
491,Gadget Geek,14770,Saturday,1945,Afternoon,1945,65.2895059619213,34.73007062085687
492,Gadget Geek,14770,Saturday,1945,Evening,1945,65.60968330158198,33.9643410650127
504,Home & Living,14686,Sunday,2401,Night,2401,68.73083891005128,31.406891888682377
505,Home & Living,14686,Sunday,2401,Morning,2401,64.99810101010101,32.83175696200933
506,Home & Living,14686,Sunday,2401,Afternoon,2401,64.1904877470782,32.59035096660908
507,Home & Living,14686,Sunday,2401,Evening,2401,63.536842105263155,31.335378696039953
512,Home & Living,14686,Monday,2240,Night,2240,67.03951762523192,31.64205649404107
513,Home & Living,14686,Monday,2240,Morning,2240,66.45382524271845,31.899417891212284
514,Home & Living,14686,Monday,2240,Afternoon,2240,69.04860995850622,31.855738405718032
515,Home & Living,14686,Monday,2240,Evening,2240,66.29140323126339,31.823044408631365
520,Home & Living,14686,Tuesday,1899,Night,1899,68.4694324332168,32.28394910286927
521,Home & Living,14686,Tuesday,1899,Morning,1899,69.60882640586797,31.3469636643207
522,Home & Living,14686,Tuesday,1899,Afternoon,1899,72.43997555012224,34.29589871795095
523,Home & Living,14686,Tuesday,1899,Evening,1899,68.45857576983907,33.00015356742332
528,Home & Living,14686,Wednesday,2070,Night,2070,66.04144104803494,32.71611411954284
529,Home & Living,14686,Wednesday,2070,Morning,2070,67.03241586538462,30.631102615850835
530,Home & Living,14686,Wednesday,2070,Afternoon,2070,68.27570815450643,32.00587036934927
531,Home & Living,14686,Wednesday,2070,Evening,2070,66.3841129032258,32.90095579986701
536,Home & Living,14686,Thursday,1832,Night,1832,65.43619825,32.57585835010394
537,Home & Living,14686,Thursday,1832,Morning,1832,65.85863979848867,32.399860669106324
538,Home & Living,14686,Thursday,1832,Afternoon,1832,65.49715328467154,32.10926211521784
539,Home & Living,14686,Thursday,1832,Evening,1832,65.1591037735849,31.096823637304677
544,Home & Living,14686,Friday,2068,Night,2068,67.25362363238511,32.326163190400784
545,Home & Living,14686,Friday,2068,Morning,2068,64.4688706365503,32.319952611162
546,Home & Living,14686,Friday,2068,Afternoon,2068,66.31413465885245,31.405197904687288
547,Home & Living,14686,Friday,2068,Evening,2068,62.80142557651991,31.157288342714057
552,Home & Living,14686,Saturday,2176,Night,2176,66.77401960803921,32.59375052063317
553,Home & Living,14686,Saturday,2176,Morning,2176,65.52438463403153,32.82216243894714
554,Home & Living,14686,Saturday,2176,Afternoon,2176,65.71930787589498,31.779531709013902
555,Home & Living,14686,Saturday,2176,Evening,2176,66.16674904942965,31.12506114251786
567,True Crime Stories,16373,Sunday,2579,Night,2579,65.09012698412698,31.969693130200284
568,True Crime Stories,16373,Sunday,2579,Morning,2579,63.55754158964881,31.758541634067583
569,True Crime Stories,16373,Sunday,2579,Afternoon,2579,66.84726880511658,32.5757090599092
570,True Crime Stories,16373,Sunday,2579,Evening,2579,63.758850571157026,31.712437030597282
575,True Crime Stories,16373,Monday,2239,Night,2239,67.27782608695652,33.49146642215089
576,True Crime Stories,16373,Monday,2239,Morning,2239,64.00948180586907,32.84808572221003
577,True Crime Stories,16373,Monday,2239,Afternoon,2239,67.16898488120951,32.01577102650893
578,True Crime Stories,16373,Monday,2239,Evening,2239,64.41231711711711,31.392425422258075
583,True Crime Stories,16373,Tuesday,2165,Night,2165,70.17942918115646,32.89401533930715
584,True Crime Stories,16373,Tuesday,2165,Morning,2165,62.54796886437788,32.45714720396688
585,True Crime Stories,16373,Tuesday,2165,Afternoon,2165,64.75857142857143,34.72424777643279
586,True Crime Stories,16373,Tuesday,2165,Evening,2165,69.05076305220884,33.63160087304473
591,True Crime Stories,16373,Wednesday,2338,Night,2338,66.67469873253995,33.69877792097675
592,True Crime Stories,16373,Wednesday,2338,Morning,2338,62.86429643527204,33.72500754000828
593,True Crime Stories,16373,Wednesday,2338,Afternoon,2338,66.89111979558824,33.327630640473274
594,True Crime Stories,16373,Wednesday,2338,Evening,2338,65.72987475149105,32.885527077266374
599,True Crime Stories,16373,Thursday,2284,Night,2284,63.52173657982986,33.700359069461214
600,True Crime Stories,16373,Thursday,2284,Morning,2284,62.81557894736842,35.06935108433501
601,True Crime Stories,16373,Thursday,2284,Afternoon,2284,64.57908835341365,33.708048717991254
602,True Crime Stories,16373,Thursday,2284,Evening,2284,61.67776998080614,34.59973304742672
607,True Crime Stories,16373,Friday,2473,Night,2473,63.858655,33.79391440368884
608,True Crime Stories,16373,Friday,2473,Morning,2473,64.66489030283168,32.29383836208428
609,True Crime Stories,16373,Friday,2473,Afternoon,2473,63.92142061007532,32.03590879529604
610,True Crime Stories,16373,Friday,2473,Evening,2473,63.97843792049037,32.9194757377944
615,True Crime Stories,16373,Saturday,2295,Night,2295,67.46425719769672,32.45627493441503
616,True Crime Stories,16373,Saturday,2295,Morning,2295,63.91895658995815,32.16612666820052
617,True Crime Stories,16373,Saturday,2295,Afternoon,2295,66.20583157894737,33.227299987271735
618,True Crime Stories,16373,Saturday,2295,Evening,2295,61.9649882320442,31.982349758821137
630,Finance Focus,17628,Sunday,2555,Night,2555,65.08637681159419,31.69250918134824
631,Finance Focus,17628,Sunday,2555,Morning,2555,52.25422972972973,35.77143981026511
632,Finance Focus,17628,Sunday,2555,Afternoon,2555,64.9734798973306,31.522878410276377
633,Finance Focus,17628,Sunday,2555,Evening,2555,54.81113981762918,35.039351412448816
638,Finance Focus,17628,Monday,2714,Night,2714,65.50137212863706,31.69558255558159
639,Finance Focus,17628,Monday,2714,Morning,2714,62.518053867791046,32.31544738392394
640,Finance Focus,17628,Monday,2714,Afternoon,2714,64.12291053485768,32.58154708700405
641,Finance Focus,17628,Monday,2714,Evening,2714,60.81235590241491,31.58175221370938
646,Finance Focus,17628,Tuesday,2345,Night,2345,66.7231530434103,31.93769814892155
647,Finance Focus,17628,Tuesday,2345,Morning,2345,66.45649402390438,32.37418541826145
648,Finance Focus,17628,Tuesday,2345,Afternoon,2345,65.29453389830509,32.819752897445454
649,Finance Focus,17628,Tuesday,2345,Evening,2345,65.70037502990601,32.839537953736325
654,Finance Focus,17628,Wednesday,2579,Night,2579,65.04501714914781,31.713060739748464
655,Finance Focus,17628,Wednesday,2579,Morning,2579,58.17358357942275,35.493690710465415
656,Finance Focus,17628,Wednesday,2579,Afternoon,2579,64.10870255691769,32.490123998281355
657,Finance Focus,17628,Wednesday,2579,Evening,2579,61.75268070175439,33.13174567181249
662,Finance Focus,17628,Thursday,2233,Night,2233,62.416752409866056,32.984735135526584
663,Finance Focus,17628,Thursday,2233,Morning,2233,63.2975702811245,33.14421303738081
664,Finance Focus,17628,Thursday,2233,Afternoon,2233,64.34827626420815,34.01071742315639
665,Finance Focus,17628,Thursday,2233,Evening,2233,60.59183680254777,32.045690776112544
670,Finance Focus,17628,Friday,2835,Night,2835,64.70425951612904,32.27455990780375
671,Finance Focus,17628,Friday,2835,Morning,2835,52.54583866666666,37.132305869400234
672,Finance Focus,17628,Friday,2835,Afternoon,2835,64.8187009540034,33.244399473146835
673,Finance Focus,17628,Friday,2835,Evening,2835,55.61418604651163,34.47743053957611
678,Finance Focus,17628,Saturday,2367,Night,2367,64.42501377248543,32.73432072824395
679,Finance Focus,17628,Saturday,2367,Morning,2367,61.46190654205606,32.84086693895444
680,Finance Focus,17628,Saturday,2367,Afternoon,2367,62.765348085783295,31.601869974822815
681,Finance Focus,17628,Saturday,2367,Evening,2367,63.39925927248161,33.17772411599727
693,Innovators,12913,Sunday,1850,Night,1850,65.79619789348341,31.51996185097518
694,Innovators,12913,Sunday,1850,Morning,1850,63.95137948137931,32.78008478664703
695,Innovators,12913,Sunday,1850,Afternoon,1850,65.07671467741726,31.81031119095824
696,Innovators,12913,Sunday,1850,Evening,1850,60.997404162703965,34.75302376515654
701,Innovators,12913,Monday,1991,Night,1991,67.64030634573304,31.503806904362367
702,Innovators,12913,Monday,1991,Morning,1991,60.94223018156171,31.079594853491994
703,Innovators,12913,Monday,1991,Afternoon,1991,66.05201900237529,32.199157715390484
704,Innovators,12913,Monday,1991,Evening,1991,64.16489669421487,33.24321702307308
709,Innovators,12913,Tuesday,1759,Night,1759,64.27018779342723,32.746182361593974
710,Innovators,12913,Tuesday,1759,Morning,1759,62.871073298429316,31.905699910384605
711,Innovators,12913,Tuesday,1759,Afternoon,1759,66.33734806629835,33.14425525878772
712,Innovators,12913,Tuesday,1759,Evening,1759,65.76580791326448,32.24042739374248
