,Program,# progam,day,# week day,Time,# on that hour,mean,std
64,Sound Waves,13928,Saturday,1902,Evening,494,63.41725446428571,32.01475896093241
65,Sound Waves,13928,Saturday,1902,Night,495,66.96390743481818,33.01006983162814
66,Sound Waves,13928,Saturday,1902,Afternoon,430,64.08854111405836,33.50591124797952
71,Sound Waves,13928,Friday,2083,Morning,540,62.85325153374233,31.9853776123438
72,Sound Waves,13928,Friday,2083,Night,600,64.58732369382821,33.2828662189866
73,Sound Waves,13928,Friday,2083,Afternoon,436,66.92515151515151,33.20317007478291
74,Sound Waves,13928,Friday,2083,Evening,507,61.279094827586206,31.964807694218237
79,Sound Waves,13928,Monday,2123,Morning,550,64.38412461443299,30.676121548609007
80,Sound Waves,13928,Monday,2123,Afternoon,437,63.215384615384615,31.923200309102533
81,Sound Waves,13928,Monday,2123,Evening,521,65.66789130434782,32.08424177831306
82,Sound Waves,13928,Monday,2123,Night,615,65.18664835164834,31.596605780039663
87,Sound Waves,13928,Sunday,2122,Morning,486,63.58052631578947,33.48419705926973
88,Sound Waves,13928,Sunday,2122,Afternoon,488,64.48001643192488,33.78092696561478
89,Sound Waves,13928,Sunday,2122,Evening,546,61.94117171717171,32.72018209046531
90,Sound Waves,13928,Sunday,2122,Night,602,64.48028012492605,32.45654292450217
95,Sound Waves,13928,Thursday,1871,Night,506,63.3488498165363,34.428391029146525
96,Sound Waves,13928,Thursday,1871,Evening,478,65.29129545454546,33.26684173332705
97,Sound Waves,13928,Thursday,1871,Afternoon,413,62.598246575342465,34.31681754108071
98,Sound Waves,13928,Thursday,1871,Morning,474,60.55943244940594,33.47796469564206
103,Sound Waves,13928,Wednesday,2095,Night,571,64.44664471057884,32.02966194204236
104,Sound Waves,13928,Wednesday,2095,Evening,574,63.46270610687023,31.727666507949444
105,Sound Waves,13928,Wednesday,2095,Morning,457,62.52950738916256,33.06486512795077
106,Sound Waves,13928,Wednesday,2095,Afternoon,493,64.78440268456376,32.70055579400119
111,Sound Waves,13928,Tuesday,1732,Evening,413,64.32775623268698,33.106351055791414
112,Sound Waves,13928,Tuesday,1732,Night,462,66.81834664944175,33.19800020234709
113,Sound Waves,13928,Tuesday,1732,Morning,452,63.59803412031941,33.18798812135868
114,Sound Waves,13928,Tuesday,1732,Afternoon,405,65.28112600536193,33.34337399827616
126,Joke Junction,15074,Saturday,2137,Afternoon,514,62.416666966292134,33.244595258446715
127,Joke Junction,15074,Saturday,2137,Night,584,63.568978805395,32.982321986587955
128,Joke Junction,15074,Saturday,2137,Evening,519,59.862943722943726,33.680857910396824
129,Joke Junction,15074,Saturday,2137,Morning,520,58.823146551724136,32.35899792764424
134,Joke Junction,15074,Monday,2220,Evening,538,60.75865263157894,33.742858101594074
135,Joke Junction,15074,Monday,2220,Night,580,63.6917034625636,33.376171234717326
136,Joke Junction,15074,Monday,2220,Morning,566,58.9308064516129,34.37028082801778
137,Joke Junction,15074,Monday,2220,Afternoon,536,63.49919254658385,34.20569247792513
142,Joke Junction,15074,Sunday,2229,Afternoon,514,58.48208156222222,34.25013938367635
143,Joke Junction,15074,Sunday,2229,Night,590,62.18424528301887,31.580329570492644
144,Joke Junction,15074,Sunday,2229,Evening,591,58.82688733323864,32.16664613529525
145,Joke Junction,15074,Sunday,2229,Morning,534,59.82761181434599,34.159012215214645
150,Joke Junction,15074,Friday,2208,Night,606,58.77045028142589,32.86250503827805
151,Joke Junction,15074,Friday,2208,Afternoon,553,59.80485065895272,31.63218898877979
152,Joke Junction,15074,Friday,2208,Morning,511,60.9697033898305,33.97894174139516
153,Joke Junction,15074,Friday,2208,Evening,538,63.57980810234542,34.649573821170414
158,Joke Junction,15074,Wednesday,2192,Evening,569,60.7576875,34.3277096099312
159,Joke Junction,15074,Wednesday,2192,Afternoon,568,60.3800420131496,34.31153040235211
160,Joke Junction,15074,Wednesday,2192,Night,543,63.95803418803419,33.251699098171166
161,Joke Junction,15074,Wednesday,2192,Morning,512,59.48731187587197,34.275740426535904
166,Joke Junction,15074,Tuesday,1812,Afternoon,433,64.2855905511811,33.08283820447529
167,Joke Junction,15074,Tuesday,1812,Night,451,63.3292443324937,33.03029082605521
168,Joke Junction,15074,Tuesday,1812,Evening,460,65.552650160125,33.05915391509216
169,Joke Junction,15074,Tuesday,1812,Morning,468,64.88684745762711,32.9634861516552
174,Joke Junction,15074,Thursday,2276,Afternoon,568,61.80547474747475,35.66632525525205
175,Joke Junction,15074,Thursday,2276,Evening,541,60.718552818371606,34.01636457429831
176,Joke Junction,15074,Thursday,2276,Night,572,63.17534724900794,33.50228068382401
177,Joke Junction,15074,Thursday,2276,Morning,595,57.80125,33.39925206172636
189,Comedy Corner,15927,Tuesday,2012,Night,511,63.9050728929385,32.44574146415918
190,Comedy Corner,15927,Tuesday,2012,Evening,528,66.04765305676855,33.098681114729196
191,Comedy Corner,15927,Tuesday,2012,Morning,541,60.27997825747346,34.22539146230207
192,Comedy Corner,15927,Tuesday,2012,Afternoon,432,63.50328938279224,33.313104744774634
197,Comedy Corner,15927,Saturday,2260,Night,594,60.204425914396886,32.545853235757605
198,Comedy Corner,15927,Saturday,2260,Evening,619,61.99446780245247,31.225399213897706
199,Comedy Corner,15927,Saturday,2260,Afternoon,530,60.65203856828194,32.76054456651446
200,Comedy Corner,15927,Saturday,2260,Morning,517,59.24003904555315,33.165334623712454
205,Comedy Corner,15927,Monday,2434,Afternoon,552,64.07776389684874,31.896519819570358
206,Comedy Corner,15927,Monday,2434,Night,682,65.58335483870968,31.53983060729033
207,Comedy Corner,15927,Monday,2434,Morning,568,62.9895291126998,31.54941274761966
208,Comedy Corner,15927,Monday,2434,Evening,632,63.482454193799285,32.44095112572229
213,Comedy Corner,15927,Thursday,2275,Morning,549,63.09237080566802,32.99896378837154
214,Comedy Corner,15927,Thursday,2275,Night,630,62.11707315884476,32.70912072743597
215,Comedy Corner,15927,Thursday,2275,Afternoon,511,59.80874235927602,33.49842730970597
216,Comedy Corner,15927,Thursday,2275,Evening,585,62.15406190004256,33.49890977051736
221,Comedy Corner,15927,Friday,2396,Night,683,64.05091973244147,33.060906095916266
222,Comedy Corner,15927,Friday,2396,Afternoon,515,60.84698717948718,31.77531520917194
223,Comedy Corner,15927,Friday,2396,Morning,614,62.30792955894056,31.666647740824867
224,Comedy Corner,15927,Friday,2396,Evening,584,62.27048679245283,31.867916742418473
229,Comedy Corner,15927,Wednesday,2169,Morning,499,59.65180985475336,34.23826625338291
230,Comedy Corner,15927,Wednesday,2169,Afternoon,471,64.24576456876457,34.11920122492836
231,Comedy Corner,15927,Wednesday,2169,Evening,574,62.862996031746036,31.928620993097383
232,Comedy Corner,15927,Wednesday,2169,Night,625,66.97796625874125,32.70423329081685
237,Comedy Corner,15927,Sunday,2381,Morning,600,63.789509433962266,32.88183802028923
238,Comedy Corner,15927,Sunday,2381,Evening,636,58.895087880355234,31.243558517599574
239,Comedy Corner,15927,Sunday,2381,Night,671,63.74147350993377,32.11571479246785
240,Comedy Corner,15927,Sunday,2381,Afternoon,474,63.438214285714295,33.890926474219334
252,Life Lessons,14464,Thursday,1776,Evening,528,63.02053401235537,32.777177773576035
253,Life Lessons,14464,Thursday,1776,Night,463,63.79110849056604,32.41433261407097
254,Life Lessons,14464,Thursday,1776,Morning,403,64.7802157606281,32.19703654271324
255,Life Lessons,14464,Thursday,1776,Afternoon,382,61.36652184591176,32.366927003447586
260,Life Lessons,14464,Sunday,2291,Night,553,62.518107569721124,32.372122290655895
261,Life Lessons,14464,Sunday,2291,Afternoon,570,65.73828740157481,32.73348111366431
262,Life Lessons,14464,Sunday,2291,Evening,648,62.89497382198954,33.92154800048656
263,Life Lessons,14464,Sunday,2291,Morning,520,62.86928879310344,31.633943291591038
268,Life Lessons,14464,Saturday,2054,Night,530,62.215157894736834,34.13831435947358
269,Life Lessons,14464,Saturday,2054,Afternoon,511,60.10325813243848,32.38032567285801
270,Life Lessons,14464,Saturday,2054,Morning,443,67.05240847880299,32.120301579045424
271,Life Lessons,14464,Saturday,2054,Evening,570,62.88140900195695,31.779599350425514
276,Life Lessons,14464,Friday,2151,Night,536,66.77888185654008,31.998768207904845
277,Life Lessons,14464,Friday,2151,Morning,534,63.23862424024641,32.80096403455842
278,Life Lessons,14464,Friday,2151,Afternoon,518,62.99120703021231,33.32366133223607
279,Life Lessons,14464,Friday,2151,Evening,563,61.994145251937994,31.96196001704611
284,Life Lessons,14464,Monday,2249,Night,550,69.77361396303901,32.989534100429886
285,Life Lessons,14464,Monday,2249,Morning,541,67.28375257731959,32.69004034169982
286,Life Lessons,14464,Monday,2249,Afternoon,560,65.48360811488462,33.60083267192366
287,Life Lessons,14464,Monday,2249,Evening,598,64.24128817300752,31.768024581087502
292,Life Lessons,14464,Tuesday,1946,Night,508,65.79661470842333,33.061044485132676
293,Life Lessons,14464,Tuesday,1946,Afternoon,472,66.3789592854801,32.79500887302254
294,Life Lessons,14464,Tuesday,1946,Evening,461,64.94431343741462,31.6952109830564
295,Life Lessons,14464,Tuesday,1946,Morning,505,67.33495479802272,32.36367849444064
300,Life Lessons,14464,Wednesday,1997,Morning,499,64.60627210681818,33.09867692948254
301,Life Lessons,14464,Wednesday,1997,Evening,544,64.86928870292887,32.46240189849176
302,Life Lessons,14464,Wednesday,1997,Night,469,67.50167396593675,32.730142252726104
303,Life Lessons,14464,Wednesday,1997,Afternoon,485,66.58733183856502,30.989552060490656
315,Money Matters,13380,Tuesday,1735,Evening,416,67.78451680457735,32.71723382645309
316,Money Matters,13380,Tuesday,1735,Afternoon,435,69.75089465885561,32.18235420368114
317,Money Matters,13380,Tuesday,1735,Night,466,67.41941888619856,33.71402157311348
318,Money Matters,13380,Tuesday,1735,Morning,418,70.14404787969946,31.969120495784207
323,Money Matters,13380,Saturday,1819,Night,486,66.19032258064516,33.092873738532504
324,Money Matters,13380,Saturday,1819,Afternoon,441,67.07702254094293,33.26474334920119
325,Money Matters,13380,Saturday,1819,Evening,461,63.59040100250626,33.0536969376472
326,Money Matters,13380,Saturday,1819,Morning,431,64.30108527131783,33.045334206341025
331,Money Matters,13380,Monday,2211,Morning,490,64.09599531615925,32.15639748452983
332,Money Matters,13380,Monday,2211,Afternoon,545,71.51439746300211,31.531027389675526
333,Money Matters,13380,Monday,2211,Night,648,67.87474226804123,31.993113504682174
334,Money Matters,13380,Monday,2211,Evening,528,65.3954721030043,32.762644868949415
339,Money Matters,13380,Friday,1782,Night,453,67.01781821223881,32.561670578092276
340,Money Matters,13380,Friday,1782,Evening,444,67.14216611793611,32.021945361929774
341,Money Matters,13380,Friday,1782,Afternoon,454,70.89226473946565,32.94022268228191
342,Money Matters,13380,Friday,1782,Morning,431,64.81803183673469,33.69409526898565
347,Money Matters,13380,Sunday,2192,Night,579,66.20003581006796,33.05868574272274
348,Money Matters,13380,Sunday,2192,Afternoon,537,66.180756302521,31.10811594652739
349,Money Matters,13380,Sunday,2192,Evening,568,67.66346007604564,32.463168166918656
350,Money Matters,13380,Sunday,2192,Morning,508,66.7176729442539,31.630964409265317
355,Money Matters,13380,Wednesday,1987,Evening,518,62.47615925723684,31.26765285544411
356,Money Matters,13380,Wednesday,1987,Night,501,68.12266816143497,32.939611000509956
357,Money Matters,13380,Wednesday,1987,Afternoon,522,67.68826138956709,32.709776555012105
358,Money Matters,13380,Wednesday,1987,Morning,446,67.30980295566503,32.79875680360937
363,Money Matters,13380,Thursday,1654,Afternoon,415,69.40912031024591,32.81531665679966
364,Money Matters,13380,Thursday,1654,Night,460,65.79682382133996,33.29985760112126
365,Money Matters,13380,Thursday,1654,Evening,407,67.98680672268908,34.34995491548257
366,Money Matters,13380,Thursday,1654,Morning,372,62.13932307692308,34.47443189493675
378,Mystery Matters,16002,Thursday,2116,Night,617,66.35649373881932,32.77748771559146
379,Mystery Matters,16002,Thursday,2116,Evening,557,62.218929166666676,34.46378025536016
380,Mystery Matters,16002,Thursday,2116,Afternoon,486,61.970442771334895,34.25858227399817
381,Mystery Matters,16002,Thursday,2116,Morning,456,63.701616915422896,33.86575113404146
386,Mystery Matters,16002,Saturday,2296,Afternoon,488,65.57848359908046,32.218858127572204
387,Mystery Matters,16002,Saturday,2296,Evening,620,62.97105978872532,33.43235861376922
388,Mystery Matters,16002,Saturday,2296,Morning,540,65.83680257510728,34.53629472302071
389,Mystery Matters,16002,Saturday,2296,Night,648,64.73581434438144,33.05879482959623
394,Mystery Matters,16002,Friday,2330,Afternoon,543,62.01838590436106,31.910080609274857
395,Mystery Matters,16002,Friday,2330,Night,646,64.80888233633218,31.425464674360708
396,Mystery Matters,16002,Friday,2330,Morning,517,64.87892358078602,31.672829853634084
397,Mystery Matters,16002,Friday,2330,Evening,624,63.01181786184308,34.10639538116617
402,Mystery Matters,16002,Monday,2380,Afternoon,540,64.15853312577319,31.861852141630703
403,Mystery Matters,16002,Monday,2380,Night,719,66.80992518532258,32.74847480838198
404,Mystery Matters,16002,Monday,2380,Evening,655,64.71433673469387,32.51048213719261
405,Mystery Matters,16002,Monday,2380,Morning,466,65.07478672985782,32.206161201128545
410,Mystery Matters,16002,Wednesday,2405,Evening,662,65.90066655231561,33.530578413756324
411,Mystery Matters,16002,Wednesday,2405,Morning,515,64.83115326663736,34.61683303196545
412,Mystery Matters,16002,Wednesday,2405,Afternoon,553,64.00706720977597,33.33710154684197
413,Mystery Matters,16002,Wednesday,2405,Night,675,66.45863692187605,33.20627571111595
418,Mystery Matters,16002,Tuesday,1942,Afternoon,475,65.37035906160193,35.150730049003315
419,Mystery Matters,16002,Tuesday,1942,Night,471,67.9372009569378,33.665241452789665
420,Mystery Matters,16002,Tuesday,1942,Evening,497,63.763625439161004,33.574480457034966
421,Mystery Matters,16002,Tuesday,1942,Morning,499,61.54084282460137,35.744179032062725
426,Mystery Matters,16002,Sunday,2533,Evening,640,62.774911194055946,33.32773488578053
427,Mystery Matters,16002,Sunday,2533,Morning,611,62.34715613382899,32.72905625823513
428,Mystery Matters,16002,Sunday,2533,Night,716,63.96043964249999,33.00240573651796
429,Mystery Matters,16002,Sunday,2533,Afternoon,566,64.4525560420749,32.67748370768346
441,Gadget Geek,14770,Wednesday,2108,Afternoon,480,61.941301204819275,31.64173578856578
442,Gadget Geek,14770,Wednesday,2108,Morning,493,65.51739242129631,34.352919857827686
443,Gadget Geek,14770,Wednesday,2108,Night,528,68.37886109395903,32.89899775983116
444,Gadget Geek,14770,Wednesday,2108,Evening,607,65.145065913371,33.48962420203846
449,Gadget Geek,14770,Saturday,1945,Afternoon,471,65.2895059619213,34.73007062085687
450,Gadget Geek,14770,Saturday,1945,Evening,492,65.60968330158198,33.9643410650127
451,Gadget Geek,14770,Saturday,1945,Morning,447,63.33106704378948,33.429282812134836
452,Gadget Geek,14770,Saturday,1945,Night,535,64.4763127673434,33.25602479496087
457,Gadget Geek,14770,Tuesday,1907,Morning,508,62.13480459770115,34.346856699143515
458,Gadget Geek,14770,Tuesday,1907,Evening,477,63.36557075298544,33.1479102574223
459,Gadget Geek,14770,Tuesday,1907,Afternoon,446,66.29019649766234,33.693693911296606
460,Gadget Geek,14770,Tuesday,1907,Night,476,64.39679344729197,34.23031504172697
465,Gadget Geek,14770,Monday,2209,Afternoon,535,67.1350001835443,33.35108443862634
466,Gadget Geek,14770,Monday,2209,Evening,567,62.074850116700205,33.0196968977161
467,Gadget Geek,14770,Monday,2209,Morning,568,65.74772358263984,32.954567050905936
468,Gadget Geek,14770,Monday,2209,Night,539,65.43553518123666,33.48824703536198
473,Gadget Geek,14770,Sunday,2236,Evening,582,67.59524950099801,31.50939779474728
474,Gadget Geek,14770,Sunday,2236,Night,628,67.22654813475089,31.923872042938587
475,Gadget Geek,14770,Sunday,2236,Morning,542,65.01376278801254,33.53715154628766
476,Gadget Geek,14770,Sunday,2236,Afternoon,484,64.28448441247002,33.983463445834886
481,Gadget Geek,14770,Thursday,2163,Morning,496,61.93758389261745,35.09009782616436
482,Gadget Geek,14770,Thursday,2163,Night,595,65.61829935014866,33.61368604914294
483,Gadget Geek,14770,Thursday,2163,Afternoon,539,64.55531518438178,35.2412983137649
484,Gadget Geek,14770,Thursday,2163,Evening,533,62.31530271398748,34.18106453985347
489,Gadget Geek,14770,Friday,2202,Afternoon,534,66.88441422803348,35.735434619358024
490,Gadget Geek,14770,Friday,2202,Evening,558,63.8334271049796,32.827781342306835
491,Gadget Geek,14770,Friday,2202,Morning,555,66.31117593947474,34.004924468568476
492,Gadget Geek,14770,Friday,2202,Night,555,67.31153061224488,32.02332424993451
504,Home & Living,14686,Sunday,2401,Afternoon,547,64.1904877470782,32.59035096660908
505,Home & Living,14686,Sunday,2401,Night,661,68.73083891005128,31.406891888682377
506,Home & Living,14686,Sunday,2401,Evening,644,63.536842105263155,31.335378696039953
507,Home & Living,14686,Sunday,2401,Morning,549,64.99810101010101,32.83175696200933
512,Home & Living,14686,Saturday,2176,Night,576,66.77401960803921,32.59375052063317
513,Home & Living,14686,Saturday,2176,Evening,605,66.16674904942965,31.12506114251786
514,Home & Living,14686,Saturday,2176,Afternoon,489,65.71930787589498,31.779531709013902
515,Home & Living,14686,Saturday,2176,Morning,506,65.52438463403153,32.82216243894714
520,Home & Living,14686,Friday,2068,Evening,538,62.80142557651991,31.157288342714057
521,Home & Living,14686,Friday,2068,Morning,539,64.4688706365503,32.319952611162
522,Home & Living,14686,Friday,2068,Afternoon,468,66.31413465885245,31.405197904687288
523,Home & Living,14686,Friday,2068,Night,523,67.25362363238511,32.326163190400784
528,Home & Living,14686,Tuesday,1899,Night,499,68.4694324332168,32.28394910286927
529,Home & Living,14686,Tuesday,1899,Evening,492,68.45857576983907,33.00015356742332
530,Home & Living,14686,Tuesday,1899,Morning,457,69.60882640586797,31.3469636643207
531,Home & Living,14686,Tuesday,1899,Afternoon,451,72.43997555012224,34.29589871795095
536,Home & Living,14686,Thursday,1832,Afternoon,453,65.49715328467154,32.10926211521784
537,Home & Living,14686,Thursday,1832,Morning,445,65.85863979848867,32.399860669106324
538,Home & Living,14686,Thursday,1832,Night,456,65.43619825,32.57585835010394
539,Home & Living,14686,Thursday,1832,Evening,478,65.1591037735849,31.096823637304677
544,Home & Living,14686,Monday,2240,Morning,561,66.45382524271845,31.899417891212284
545,Home & Living,14686,Monday,2240,Afternoon,548,69.04860995850622,31.855738405718032
546,Home & Living,14686,Monday,2240,Night,606,67.03951762523192,31.64205649404107
547,Home & Living,14686,Monday,2240,Evening,525,66.29140323126339,31.823044408631365
552,Home & Living,14686,Wednesday,2070,Morning,464,67.03241586538462,30.631102615850835
553,Home & Living,14686,Wednesday,2070,Afternoon,522,68.27570815450643,32.00587036934927
554,Home & Living,14686,Wednesday,2070,Evening,556,66.3841129032258,32.90095579986701
555,Home & Living,14686,Wednesday,2070,Night,528,66.04144104803494,32.71611411954284
567,True Crime Stories,16373,Saturday,2295,Afternoon,526,66.20583157894737,33.227299987271735
568,True Crime Stories,16373,Saturday,2295,Night,602,67.46425719769672,32.45627493441503
569,True Crime Stories,16373,Saturday,2295,Morning,546,63.91895658995815,32.16612666820052
570,True Crime Stories,16373,Saturday,2295,Evening,621,61.9649882320442,31.982349758821137
575,True Crime Stories,16373,Wednesday,2338,Morning,594,62.86429643527204,33.72500754000828
576,True Crime Stories,16373,Wednesday,2338,Afternoon,524,66.89111979558824,33.327630640473274
577,True Crime Stories,16373,Wednesday,2338,Night,635,66.67469873253995,33.69877792097675
578,True Crime Stories,16373,Wednesday,2338,Evening,585,65.72987475149105,32.885527077266374
583,True Crime Stories,16373,Thursday,2284,Afternoon,573,64.57908835341365,33.708048717991254
584,True Crime Stories,16373,Thursday,2284,Night,591,63.52173657982986,33.700359069461214
585,True Crime Stories,16373,Thursday,2284,Evening,577,61.67776998080614,34.59973304742672
586,True Crime Stories,16373,Thursday,2284,Morning,543,62.81557894736842,35.06935108433501
591,True Crime Stories,16373,Monday,2239,Morning,496,64.00948180586907,32.84808572221003
592,True Crime Stories,16373,Monday,2239,Afternoon,517,67.16898488120951,32.01577102650893
593,True Crime Stories,16373,Monday,2239,Evening,625,64.41231711711711,31.392425422258075
594,True Crime Stories,16373,Monday,2239,Night,601,67.27782608695652,33.49146642215089
599,True Crime Stories,16373,Sunday,2579,Morning,608,63.55754158964881,31.758541634067583
600,True Crime Stories,16373,Sunday,2579,Evening,701,63.758850571157026,31.712437030597282
601,True Crime Stories,16373,Sunday,2579,Night,702,65.09012698412698,31.969693130200284
602,True Crime Stories,16373,Sunday,2579,Afternoon,568,66.84726880511658,32.5757090599092
607,True Crime Stories,16373,Friday,2473,Night,670,63.858655,33.79391440368884
608,True Crime Stories,16373,Friday,2473,Morning,572,64.66489030283168,32.29383836208428
609,True Crime Stories,16373,Friday,2473,Evening,645,63.97843792049037,32.9194757377944
610,True Crime Stories,16373,Friday,2473,Afternoon,586,63.92142061007532,32.03590879529604
615,True Crime Stories,16373,Tuesday,2165,Night,547,70.17942918115646,32.89401533930715
616,True Crime Stories,16373,Tuesday,2165,Morning,499,62.54796886437788,32.45714720396688
617,True Crime Stories,16373,Tuesday,2165,Evening,576,69.05076305220884,33.63160087304473
618,True Crime Stories,16373,Tuesday,2165,Afternoon,543,64.75857142857143,34.72424777643279
630,Finance Focus,17628,Thursday,2233,Morning,559,63.2975702811245,33.14421303738081
631,Finance Focus,17628,Thursday,2233,Afternoon,504,64.34827626420815,34.01071742315639
632,Finance Focus,17628,Thursday,2233,Night,619,62.416752409866056,32.984735135526584
633,Finance Focus,17628,Thursday,2233,Evening,551,60.59183680254777,32.045690776112544
638,Finance Focus,17628,Friday,2835,Night,701,64.70425951612904,32.27455990780375
639,Finance Focus,17628,Friday,2835,Evening,717,55.61418604651163,34.47743053957611
640,Finance Focus,17628,Friday,2835,Morning,749,52.54583866666666,37.132305869400234
641,Finance Focus,17628,Friday,2835,Afternoon,668,64.8187009540034,33.244399473146835
646,Finance Focus,17628,Tuesday,2345,Afternoon,545,65.29453389830509,32.819752897445454
647,Finance Focus,17628,Tuesday,2345,Morning,567,66.45649402390438,32.37418541826145
648,Finance Focus,17628,Tuesday,2345,Night,622,66.7231530434103,31.93769814892155
649,Finance Focus,17628,Tuesday,2345,Evening,611,65.70037502990601,32.839537953736325
654,Finance Focus,17628,Sunday,2555,Evening,732,54.81113981762918,35.039351412448816
655,Finance Focus,17628,Sunday,2555,Afternoon,558,64.9734798973306,31.522878410276377
656,Finance Focus,17628,Sunday,2555,Night,616,65.08637681159419,31.69250918134824
657,Finance Focus,17628,Sunday,2555,Morning,649,52.25422972972973,35.77143981026511
662,Finance Focus,17628,Wednesday,2579,Evening,656,61.75268070175439,33.13174567181249
663,Finance Focus,17628,Wednesday,2579,Night,643,65.04501714914781,31.713060739748464
664,Finance Focus,17628,Wednesday,2579,Morning,641,58.17358357942275,35.493690710465415
665,Finance Focus,17628,Wednesday,2579,Afternoon,639,64.10870255691769,32.490123998281355
670,Finance Focus,17628,Monday,2714,Night,738,65.50137212863706,31.69558255558159
671,Finance Focus,17628,Monday,2714,Afternoon,600,64.12291053485768,32.58154708700405
672,Finance Focus,17628,Monday,2714,Morning,678,62.518053867791046,32.31544738392394
673,Finance Focus,17628,Monday,2714,Evening,698,60.81235590241491,31.58175221370938
678,Finance Focus,17628,Saturday,2367,Night,582,64.42501377248543,32.73432072824395
679,Finance Focus,17628,Saturday,2367,Morning,599,61.46190654205606,32.84086693895444
680,Finance Focus,17628,Saturday,2367,Afternoon,575,62.765348085783295,31.601869974822815
681,Finance Focus,17628,Saturday,2367,Evening,611,63.39925927248161,33.17772411599727
693,Innovators,12913,Wednesday,1848,Afternoon,443,64.7709375,33.95995959237386
694,Innovators,12913,Wednesday,1848,Morning,432,65.132475,33.05307652539865
695,Innovators,12913,Wednesday,1848,Night,538,66.57039843551797,33.71199364364244
696,Innovators,12913,Wednesday,1848,Evening,435,59.8512504076087,33.75216785326062
701,Innovators,12913,Sunday,1850,Evening,479,60.997404162703965,34.75302376515654
702,Innovators,12913,Sunday,1850,Afternoon,474,65.07671467741726,31.81031119095824
703,Innovators,12913,Sunday,1850,Night,481,65.79619789348341,31.51996185097518
704,Innovators,12913,Sunday,1850,Morning,416,63.95137948137931,32.78008478664703
709,Innovators,12913,Tuesday,1759,Afternoon,415,66.33734806629835,33.14425525878772
710,Innovators,12913,Tuesday,1759,Night,473,64.27018779342723,32.746182361593974
711,Innovators,12913,Tuesday,1759,Morning,422,62.871073298429316,31.905699910384605
712,Innovators,12913,Tuesday,1759,Evening,449,65.76580791326448,32.24042739374248
717,Innovators,12913,Saturday,1765,Evening,478,61.600000006243924,31.6578105277249
718,Innovators,12913,Saturday,1765,Night,520,68.11882096069868,33.0976973279092
719,Innovators,12913,Saturday,1765,Afternoon,403,65.49986111111112,33.5030128563715
720,Innovators,12913,Saturday,1765,Morning,364,63.7160108684375,31.89148004351918
725,Innovators,12913,Monday,1991,Afternoon,483,66.05201900237529,32.199157715390484
726,Innovators,12913,Monday,1991,Night,521,67.64030634573304,31.503806904362367
727,Innovators,12913,Monday,1991,Morning,445,60.94223018156171,31.079594853491994
728,Innovators,12913,Monday,1991,Evening,542,64.16489669421487,33.24321702307308
